MOV,3,0
ADD,4,0
SUB,5,0
MUL,6,0
DIV,7,0
MOD,8,0
EXP,9,0
NEG,10,0
INC,11,0
DEC,12,0
AND,13,0
OR,14,0
XOR,15,0
NOT,16,0
SHL,17,0
SHR,18,0
CONCAT,19,0
GETCHAR,20,0
SETCHAR,21,0
JMP,22,0
JE,23,0
JNE,24,0
JG,25,0
JL,26,0
JGE,27,0
JLE,28,0
PUSH,29,0
POP,30,0
CALL,31,0
RET,32,0
CALLHOS,33,0
PAUSE,34,0
EXIT,35,0
TokenTy,36,0
